"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GJC1",4.39151225557337e-16,0.389905540228416,0.328,0.072,6.379989004897e-12,"1","GJC1"
"COL6A2",6.9039632835911e-15,0.732685650168239,0.597,0.267,1.00300778584012e-10,"1","COL6A2"
"NFASC",1.88274358391427e-14,0.368656850945001,0.261,0.049,2.73524987871065e-10,"1","NFASC"
"PACSIN2",3.61096140982434e-14,0.416188004436355,0.445,0.147,5.24600473619280e-10,"1","PACSIN2"
"TGFB1I1",4.5011731927368e-14,0.52440348853359,0.479,0.181,6.53930441440803e-10,"1","TGFB1I1"
"GJA4",5.134882163034e-14,0.450943900719938,0.832,0.415,7.4599568064558e-10,"1","GJA4"
"RGS16",7.43314509321714e-14,0.565473791740751,0.487,0.18,1.07988731914259e-09,"1","RGS16"
"NR2F2",7.99267757864651e-14,0.60674892110376,0.529,0.219,1.16117619862577e-09,"1","NR2F2"
"NUPR1",1.13807131525436e-13,0.441841994428072,0.437,0.148,1.65339000680154e-09,"1","NUPR1"
"PDLIM3",1.1818535502559e-13,0.38350005387536,0.286,0.064,1.71699683781177e-09,"1","PDLIM3"
"DSTN",1.76409947456288e-13,0.717162498001961,0.941,0.769,2.56288371664496e-09,"1","DSTN"
"ATP5G3",2.35231506424526e-13,0.671297495810871,0.731,0.471,3.41744332533551e-09,"1","ATP5G3"
"PEBP1",2.42890001742424e-13,0.625565776245379,0.723,0.451,3.52870594531394e-09,"1","PEBP1"
"VAMP2",8.50324793540608e-13,0.540884008086064,0.84,0.554,1.23535186005579e-08,"1","VAMP2"
"FOSB",1.39308510854544e-12,0.576907480430817,1,0.951,2.02387404569482e-08,"1","FOSB"
"KIAA0040",1.45742753278129e-12,0.319321990316277,0.261,0.058,2.11735071962466e-08,"1","KIAA0040"
"GAMT",3.75144896942967e-12,0.342070081820611,0.319,0.089,5.45010506278742e-08,"1","GAMT"
"GRK5",3.95256998302708e-12,0.391149211393647,0.395,0.133,5.74229367134174e-08,"1","GRK5"
"JADE1",4.53481020996655e-12,0.373585882075776,0.37,0.119,6.5881722730394e-08,"1","JADE1"
"SERPINF1",4.54970649148598e-12,0.391619417577749,0.303,0.082,6.60981359083083e-08,"1","SERPINF1"
"ZFHX3",1.25196002633608e-11,0.56223904814145,0.479,0.208,1.81884752626106e-07,"1","ZFHX3"
"MT-CO3",1.72672742847986e-11,0.307094140796962,1,1,2.50858960809554e-07,"1","MT-CO3"
"ANXA6",2.80150928087601e-11,0.461034108636735,0.429,0.171,4.07003268325666e-07,"1","ANXA6"
"FTH1",4.37912640716266e-11,0.333565810882447,1,1,6.36199484432591e-07,"1","FTH1"
"HCFC1R1",5.97931021435763e-11,0.546155324806374,0.487,0.227,8.68674187941877e-07,"1","HCFC1R1"
"BTG2",7.1314529345874e-11,0.637782245605756,0.908,0.621,1.03605748233686e-06,"1","BTG2"
"SERPING1",1.24858301577783e-10,0.442365418413307,0.403,0.157,1.81394140532203e-06,"1","SERPING1"
"SEPT7",1.51836921634469e-10,0.491620891750058,0.941,0.712,2.20588679750557e-06,"1","SEPT7"
"LBH",2.01017516813678e-10,0.48500167209598,0.597,0.305,2.92038248426912e-06,"1","LBH"
"EGR1",2.05167843265534e-10,0.538644929230937,0.975,0.817,2.98067842696168e-06,"1","EGR1"
"CYCS",2.6484521230621e-10,0.710137743253764,0.849,0.591,3.84767124438461e-06,"1","CYCS"
"EBF1",2.85621748970828e-10,0.410815546951749,0.42,0.175,4.14951276904819e-06,"1","EBF1"
"CST3",3.1841808401142e-10,0.621194455448793,0.933,0.748,4.62597792451792e-06,"1","CST3"
"EEF1A1",5.00234720360632e-10,0.307723195811524,1,1,7.26741001739926e-06,"1","EEF1A1"
"MT-CO1",5.70571739522738e-10,0.309677910908124,1,1,8.28926623178634e-06,"1","MT-CO1"
"KANK2",9.82951957274388e-10,0.472940875320909,0.395,0.165,1.42803260352823e-05,"1","KANK2"
"NUCKS1",1.3578522137307e-09,0.434184236288651,0.924,0.703,1.97268769610796e-05,"1","NUCKS1"
"EHD2",1.77358997372543e-09,0.407175637291823,0.462,0.208,2.57667151382831e-05,"1","EHD2"
"FABP5",2.06919781560306e-09,0.390199697644236,0.58,0.292,3.00613058650812e-05,"1","FABP5"
"CCND2",2.30015973445985e-09,0.264874206293901,0.294,0.094,3.34167206222326e-05,"1","CCND2"
"TINAGL1",3.53833262942663e-09,0.472593285820838,0.765,0.514,5.14048964403101e-05,"1","TINAGL1"
"MPRIP",4.46874003667604e-09,0.348837907775141,0.462,0.211,6.49218552528294e-05,"1","MPRIP"
"C11orf96",5.43628679720345e-09,0.452084186870584,0.387,0.16,7.89783745897717e-05,"1","C11orf96"
