B cells	Liver bud hepatic cells	Myofibroblast	T cells	TAC	TECs
TCGA.DD.AACA.01A	1.58168172065856	2.14368745863657	1.92283741460829	1.9108016286935	1.87690548081629	1.92596063851978
TCGA.FV.A3R3.01A	1.62605864739847	2.15608831184989	2.02154624781333	1.9785531281672	2.00167957370084	2.01728249339587
TCGA.KR.A7K0.01A	1.55583477079516	2.18125790867677	1.97216828682677	1.94561697410131	1.96487071361402	1.95184420187887
TCGA.DD.AACC.01A	1.89879067227187	2.17498255709782	1.94446619690673	2.08219175853959	2.09729553684253	1.93630246043555
TCGA.BC.A3KG.01A	1.34151298602886	2.16522599682045	1.8627196478199	1.89520613155899	1.85793013609059	1.85964595952047
TCGA.G3.AAV2.01A	1.44794002994128	2.16071613416541	1.89585764419577	1.89308701483902	1.90438231626513	1.92871683782225
TCGA.CC.A7IK.01A	1.29094242536765	2.13073756583887	1.90206698660884	1.89190449589794	1.85335439041924	1.89901617793934
TCGA.G3.A25S.01A	1.455443144278	2.20222292937303	1.84348337371272	1.93221751844535	1.94079264982238	1.83881745368627
TCGA.DD.AADR.01A	1.57851849993665	2.19247549233807	1.90035504150342	1.97626630914766	1.9503069188775	1.91375531249844
TCGA.UB.A7MD.01A	1.58152245052692	2.179604787397	1.96710423469536	1.97203395893763	2.02320838833536	1.96516690465069
TCGA.DD.A4NS.01A	1.69242729876323	2.16705562988396	2.04623285892551	2.01027072234896	2.03282288281931	2.00634777072701
TCGA.CC.A9FU.01A	1.60152927212577	2.16905164262284	1.84645731916919	1.92654588880014	1.8829260471392	1.83048726265376
TCGA.DD.AAE3.01A	1.35620075382071	2.18806887972832	1.99260129537082	1.91706492261336	1.9629359198189	1.96729405004646
TCGA.DD.AACP.01A	1.57360153965094	2.17355959277305	1.88758907275528	1.92789234136206	1.89463514091458	1.86285598495313
TCGA.2Y.A9H8.01A	1.70235263603105	2.15844462493993	1.8532829631034	1.9610210939633	1.95315939101563	1.84311919609396
TCGA.FV.A3I1.01A	1.67388563590583	2.1751048897802	1.93509444809804	1.96569648388748	1.99067967397999	1.92462427853792
TCGA.2Y.A9H7.01A	1.50753499403671	2.18523323015523	1.85370071393318	1.9524570814568	1.9247520358571	1.90561378832719
TCGA.DD.AAVU.01A	1.330671254494	2.18933860091171	1.86738414593608	1.89184220482119	1.91292949310592	1.84134213648244
TCGA.BC.A110.01A	1.7277406556325	2.17782880610781	2.03861183624585	2.01222098261753	2.06500197880501	1.9976168902103
TCGA.ZP.A9CZ.01A	1.76165922069745	2.18476666383957	1.9349290178468	1.98808227003855	2.00274637815308	1.91037037205552
TCGA.DD.AAE1.01A	1.48179043288371	2.17720896538241	1.85645762061119	1.94007070163897	1.9221386864779	1.89896447705378
TCGA.GJ.A3OU.01A	1.79444725363251	2.16322041146829	2.01760506976719	2.07280350067538	2.13213455594458	1.9997727065966
TCGA.RC.A7SB.01A	1.47742530116276	2.19994261182709	1.9031022167594	1.90808145234039	1.92162674288093	1.89380518683777
TCGA.DD.AAVS.01A	1.53153069489558	2.17499013162046	1.95357302648974	1.95642731831219	1.94100552127126	1.92301849614099
TCGA.CC.A8HS.01A	1.41183569102509	2.14154109335045	1.91260372388644	1.90442171067457	1.86602395385027	1.90856459253547
TCGA.FV.A3I0.01A	1.46391844550125	2.06682493167304	1.97485075292363	1.96237111988618	1.99176123251906	1.95385403869964
TCGA.2Y.A9GT.01A	1.74883972032423	2.15415777277338	1.94036537784624	2.01563042914226	1.99046419388312	1.95984687648103
TCGA.2Y.A9HA.01A	1.40204411778745	2.18687430091842	1.90287715089369	1.8954349813093	1.89660094051584	1.9036836964376
TCGA.FV.A2QQ.01A	1.64568011578813	2.1976170761971	1.93760639055699	1.97647215181765	1.98718760173049	1.9273925523347
TCGA.DD.AAEH.01A	1.68306589683959	2.18205242745395	1.94580790599463	2.01753190540489	1.98411793676509	1.93905518949181
TCGA.DD.AADM.01A	1.61819046450511	2.206161932649	1.93207848830525	1.95291699073556	1.94766903829766	1.89728395610976
TCGA.G3.A3CK.01A	1.62775580967294	2.16004090325875	1.90595699685922	1.96694059538406	1.95497699649306	1.91364802893592
TCGA.EP.A26S.01A	1.38934600193285	2.16141278126619	1.89527050440242	1.89502666063375	1.87222553494097	1.91365676733722
TCGA.DD.A11A.01A	1.3206719452773	2.18050601938772	1.91482486752422	1.87970992455528	1.87750465428227	1.92479904919243
TCGA.DD.AAE6.01A	1.206161932649	2.16883803481812	1.80292936310212	1.80976603363724	1.78311621258154	1.81951710194211
TCGA.XR.A8TE.01A	1.51673254716505	2.1338719486787	1.96999047391366	1.94156504590636	1.92316507323431	1.95803991343536
TCGA.DD.A73B.01A	1.25930779521914	2.17786322386312	1.86407371842881	1.87858020184826	1.85523914258996	1.87422797986072
TCGA.EP.A3JL.01A	1.65033597508371	2.19386939649463	1.96117160467425	2.00734548598302	2.02005937363744	1.93123401381803
TCGA.CC.A3MB.01A	1.56674015963061	2.17789086292112	1.91027982580254	1.94212487905669	1.92552307207173	1.91412233504037
TCGA.DD.AAD0.01A	1.38647580101881	2.16006931568746	1.77698532442033	1.89415192650292	1.85459242078279	1.82588946925573
TCGA.MI.A75I.01A	1.41908537165001	2.20084713579691	1.89139573051275	1.93117109112757	1.93796612405765	1.8792562280079
TCGA.DD.AACZ.01A	1.75931830773504	2.14938516923	1.88096247327535	2.04579910624382	2.08903603312863	1.91404613995843
TCGA.CC.A8HU.01A	1.33454725222792	2.17672576599493	1.89384351293387	1.89264805006155	1.89549125899819	1.84806757305099
TCGA.RC.A6M5.01A	1.66459165900315	2.16749302908229	2.03310744873421	1.93999295543776	1.9373333557245	2.02006694268762
TCGA.2Y.A9GZ.01A	1.52392546170061	2.17127955539292	1.86436201997426	1.84445356625051	1.83798552848943	1.90916684475171
TCGA.DD.AACO.01A	1.60251079886009	2.18913276531514	1.90625282600062	1.95326315732445	1.94164131363512	1.88949787739703
TCGA.LG.A6GG.01A	1.39458059758523	2.1837107075388	1.88939874198976	1.8906907326586	1.89555535019894	1.89699689524261
TCGA.BC.4073.01B	1.83757724688109	2.14770712578398	1.94143216909392	2.05270937849132	2.07661521661319	1.94171616819988
TCGA.ED.A7PZ.01A	1.30635539509431	2.1887505711857	1.8969611632376	1.83659029362234	1.85121707422848	1.83885175489716
TCGA.DD.A4NV.01A	1.56822652878291	2.16599875014136	1.96688338798599	1.91113580223823	1.92024920535107	1.95378842924984
TCGA.DD.A73G.01A	1.51364912400892	2.18431115837765	1.89666778140637	1.9010008630769	1.93465130135368	1.85493583455732
TCGA.G3.AAV3.01A	1.83323545252369	2.15992924424567	1.90671497102118	2.00273137424618	1.98871613516641	1.9019144611722
TCGA.G3.A25U.01A	1.31354021484122	2.1569238172189	1.86741540920867	1.89266398892971	1.86849509853357	1.90391270032183
TCGA.BC.A5W4.01A	1.28354539647066	2.1818607517157	1.82150674774073	1.85771428047299	1.83411469649558	1.81202746405813
TCGA.UB.AA0U.01A	1.59396901510781	2.17162281891459	1.95689078694079	1.97490836867826	1.98167251449003	1.94913616292294
TCGA.EP.A12J.01A	1.49549357754287	2.14415869615661	1.87763070341567	1.89930425582237	1.8768729326588	1.90937393109185
TCGA.G3.A5SI.01A	1.37135822552942	2.1876403596259	1.90777191078121	1.88239841529082	1.86327480036412	1.90593776319362
TCGA.FV.A4ZQ.01A	1.84558666901476	2.15258665001505	1.85153500543488	2.03304514471162	2.02335698295845	1.85842700541129
TCGA.DD.A4ND.01A	1.67184481120224	2.1587772799467	2.03697242345479	2.00783755346019	2.01929494208546	1.98916818858631
TCGA.ED.A8O5.01A	1.42466054659985	2.15166063505634	1.94117689246363	1.92739762251978	1.88205827027163	1.95572060452826
TCGA.UB.A7ME.01A	1.76875977685964	2.16653042687813	1.93762579235388	2.00357484490364	1.99007894457358	1.92329619226379
TCGA.CC.5264.01A	1.57152952935306	2.1561304440289	1.88031577495364	1.94394374867165	1.92758444385745	1.87958226199702
TCGA.DD.AADA.01A	1.6823910537517	2.16476077582697	1.94150764829283	1.9963930197822	1.95773998436535	1.95757820713617
TCGA.2Y.A9HB.01A	1.65070439339667	2.17556859062227	1.92626833684227	1.98441705659118	1.96448154301508	1.93536027055968
TCGA.DD.AACS.01A	1.308651827691	2.16421265418667	1.86859325721429	1.88110289355057	1.86626491062032	1.89606450683105
TCGA.DD.AAE0.01A	1.58178612641155	2.15075757760612	1.95628094780202	1.93009182368875	1.92987799279095	1.90750777970009
TCGA.G3.A5SK.01A	1.66076824911352	2.1682894611606	1.90858886689782	1.9840233548767	1.99298916594967	1.92676350125579
TCGA.BC.A69I.01A	1.46735669759568	2.17739611553811	1.98590193376229	1.94517030949209	1.95875123089414	1.96980290353003
TCGA.BC.A10R.01A	1.49242741489459	2.17417943057458	1.99777250649898	1.90992372857997	1.94121576611818	1.98038733684661
TCGA.BC.A10X.01A	1.69252303128725	2.17548699090775	2.00819630573989	1.98278589274871	2.00984975484921	1.98019662015299
TCGA.BC.A10S.01A	1.60523265663392	2.18745585936927	1.97710811608212	1.98931202966358	2.02699148444556	1.97241685100193
TCGA.DD.AAVX.01A	1.53881431639604	2.16650455461253	1.94418658703015	1.98155121261924	1.98284653293509	1.95600968425746
TCGA.DD.AAVQ.01A	1.84937195610953	2.16586879655781	1.94567393463733	2.04933456269868	2.04948492134349	1.92367235915438
TCGA.RC.A7SH.01A	1.4124787172911	2.15858489045479	1.88215302087952	1.88049345698804	1.83779283426858	1.87537954255765
TCGA.G3.A3CJ.01A	1.50094627665317	2.18916759692321	1.91949418390206	1.91023005932613	1.91231819509561	1.90951953629145
TCGA.DD.A115.01A	1.4978763031016	2.18216719586074	1.94757122101676	1.94871863675994	1.93646063237537	1.93324560594864
TCGA.BC.A10Q.01A	1.52203187609164	2.08027380407044	1.94240460064049	1.97803474091277	1.98620703667742	1.94747905904938
TCGA.DD.A1EE.01A	1.35083447388498	2.14782046185913	1.89089741231468	1.89222120103533	1.91811123138687	1.91615650326018
TCGA.ZP.A9CY.01A	1.57272795307413	2.18352939211379	1.95618867948987	1.94417199123012	1.96467272775172	1.9451775943406
TCGA.FV.A23B.01A	1.56804639280385	2.16412874893303	1.91958814284784	1.97695096897161	1.96873421584093	1.95218258868113
TCGA.HP.A5MZ.01A	1.70670143678471	2.18042658358852	2.01997536644188	2.0214573047424	2.04795462581211	1.9934617661428
TCGA.DD.AACK.01A	1.41192668036811	2.18005244255858	1.91521298037634	1.9290219425896	1.92619043020798	1.92354365054915
TCGA.CC.A1HT.01A	1.74378967264388	2.09298932013182	1.95767495095132	2.05529668171644	2.11071130475884	1.95632321680075
TCGA.DD.A11B.01A	1.38638575935609	2.16379967473758	1.90491535365378	1.89402436350824	1.87544212467561	1.91711183384661
TCGA.ZP.A9D4.01A	1.28767556304121	2.15521327929787	1.85203268309135	1.86601643359159	1.87168280448646	1.88560184932356
TCGA.HP.A5N0.01A	1.53746084067479	2.17416374512269	1.99253382251359	1.92718059609144	1.94163348877295	1.98487239661516
TCGA.EP.A2KB.01A	1.42445708707143	2.17180068001181	1.91031406954018	1.9236908035391	1.91184422015387	1.90827164972587
TCGA.DD.A4NN.01A	1.40208786950805	2.16556312594589	1.92849888498038	1.88067991944164	1.88386576413088	1.90730137969727
TCGA.ES.A2HS.01A	1.40824273411823	2.19152575093003	1.9358628352341	1.87558914803453	1.88866280014706	1.91483224208285
TCGA.G3.A3CG.01A	1.58701164333388	2.17765016046364	1.95589365547581	1.94357791052589	1.93899921135	1.95573296268904
TCGA.DD.AAVR.01A	1.72420797194231	2.18561633640374	2.0173598249737	2.04122504282288	2.05453799920855	2.00021432501898
TCGA.DD.AAD1.01A	1.74822437529718	2.15017133825279	2.02318301500784	2.02940117374755	2.01961199676257	1.99448992482977
TCGA.DD.A73D.01A	1.37679159829317	2.17116344478663	1.79966161988924	1.8431274218314	1.80934365977266	1.86254841843829
TCGA.DD.AAVW.01A	1.65094944729156	2.1659575554631	2.0095035333102	1.99754471933443	1.9893004389313	1.98974917609213
TCGA.DD.A4NF.01A	1.33829550144145	2.13617208961032	1.91113380480134	1.86566008426284	1.85782164868771	1.94665788114484
TCGA.DD.AACN.01A	1.69022438871707	2.1618516898279	1.98801842499412	1.96829951477256	1.96722720446674	1.97803353860711
TCGA.DD.A3A2.01A	1.54318600122046	2.17053518610819	1.89997657134998	1.9064402345013	1.90293413703859	1.90028796684018
TCGA.K7.A5RF.01A	1.79428204740542	2.17739065512187	1.98837531301428	1.98479725310483	2.03673842440788	1.9587778730864
TCGA.DD.A116.01A	1.60641795405756	2.17996324806623	1.93741946441013	1.93464233125189	1.93873254404108	1.89886120307025
TCGA.DD.A4NI.01A	1.69386831235867	2.17563908181975	1.95662121911611	1.99634508490213	1.98038923844108	1.95978890690845
TCGA.BC.A10T.01A	1.55462632857369	2.17964932989996	2.00926701157109	1.94729235508449	1.94637096254646	1.97360392037375
TCGA.DD.AADJ.01A	1.55517628180396	2.19869198386412	1.90539007990875	1.94666378683757	1.93773753807283	1.91471069579573
TCGA.DD.AACE.01A	1.59227081634772	2.16654653513495	1.91317931913462	1.89058021587527	1.87493103985964	1.9276134028624
TCGA.FV.A3R2.01A	1.3298720784379	2.17829644789791	1.8910917307788	1.91913658468308	1.91569213403084	1.89135866646741
TCGA.DD.AAE7.01A	1.69754636007365	2.17877239160467	1.97923072619993	1.97212740731597	1.97376619544159	1.95918930883036
TCGA.DD.AADD.01A	1.47405664212734	2.16066698718618	1.83642445878856	1.90356168683082	1.89368829928153	1.85146122638513
TCGA.4R.AA8I.01A	1.50497347168122	2.17380082950404	1.90172742821741	1.89802329551352	1.91738581761524	1.8926285618797
TCGA.FV.A496.01A	1.4888293937143	2.17864260366834	1.88527755659577	1.82505715925695	1.82582153798896	1.88677282276737
TCGA.DD.A39X.01A	1.55323394649903	2.18856665900315	1.95743894729229	1.9522976141792	1.97329287160893	1.91656966408326
TCGA.DD.AADS.01A	1.65485838106157	2.18383196706239	1.85062730239544	1.96644700508209	1.97609331235327	1.88902802760139
TCGA.DD.AAE9.01A	1.37400832554764	2.1669505441596	1.83956248371207	1.88807394809393	1.87937879073077	1.84483480135235
TCGA.G3.AAUZ.01A	1.70784850245404	2.19330937010055	1.93596553543508	1.97348751074245	1.9791592291896	1.91564650185521
TCGA.WX.AA47.01A	1.46144005315689	2.1712683530246	1.90905586205927	1.86671882184817	1.83385864492759	1.90260348543755
TCGA.NI.A4U2.01A	1.38276015828023	2.16993340573169	1.95609401511948	1.91534826623964	1.91565291040342	1.96798717785378
TCGA.DD.AACI.01A	1.73221322024392	2.19109571628629	1.94801212394533	2.03574170083234	2.0475784531235	1.92298638360989
TCGA.ZP.A9D1.01A	1.61564856065293	2.17492971708025	1.98487622279416	1.98193785137372	1.9622240886582	1.97350406596618
TCGA.UB.A7MB.01A	1.22895101102834	2.16612237927684	1.87340771952091	1.88338641751343	1.83867145444843	1.88855931124266
TCGA.DD.AAVP.01A	1.52589872565706	2.16767279422778	1.93807542795042	1.91042074781313	1.90439605563666	1.9200759024007
TCGA.DD.A4NR.01A	1.71129906256052	2.17201869990328	1.91635718804131	2.05205748826579	2.0946276303611	1.92882666176244
TCGA.RG.A7D4.01A	1.86500637056049	2.16076717945776	1.84308421945333	2.02627905334711	2.00022117837923	1.84238775216328
TCGA.5R.AAAM.01A	1.68472226828958	2.18006715553812	2.0001386472242	1.9849422769389	2.02169376681064	1.98574219342263
TCGA.DD.A3A4.01A	1.38809531286755	2.16311645100351	1.92209707120207	1.84795911921654	1.84338869400778	1.93662265702202
TCGA.BC.A217.01A	1.62910306761059	2.18055549119587	1.83378302459566	1.95425867777825	1.9426733591981	1.81012649095196
TCGA.RC.A6M3.01A	1.59151242683378	2.14766990345109	1.89956645702423	1.98775632932743	1.96221798820614	1.89912485253642
TCGA.DD.A4NQ.01A	1.37277374217392	2.18135847280644	1.90669501650032	1.95502670314909	1.98622685706883	1.87970656392018
TCGA.CC.A9FV.01A	1.67225429624372	1.91986916339128	2.0861733243933	2.04216690269027	2.10218602335559	2.00540374760638
TCGA.UB.A7MC.01A	1.3833722235647	2.15341123348631	1.89434644052213	1.87986705502285	1.86675128944317	1.90689364832364
TCGA.MR.A8JO.01A	1.62284124330162	2.14862580317521	2.08977745157767	2.03477034550859	2.03185296454676	2.05417137674965
TCGA.DD.AAEG.01A	1.48257688257635	2.19025435207955	1.94042770837863	1.87779405493644	1.87673065287285	1.91923828846521
TCGA.DD.A39W.01A	1.53419999938527	2.13047575965742	1.87905666929255	1.90195087671281	1.89532563262435	1.8982236063564
TCGA.DD.A39Z.01A	1.32821257007755	2.19869457028812	1.8653527231289	1.90780961846169	1.85257323384477	1.88010199047311
TCGA.BC.A10Z.01A	1.2442100112435	2.17025563661506	1.84303786786471	1.81219020051841	1.79875358478641	1.85395432605356
TCGA.WQ.AB4B.01A	1.52732074035467	2.20007535810559	1.95937774611649	1.96594449488833	1.96517873126323	1.93618639797111
TCGA.CC.A123.01A	1.43541451493797	2.18946108174218	1.9280448676942	1.94390449632984	1.94979430173925	1.89078522584917
TCGA.YA.A8S7.01A	1.67469042468413	2.13146049730401	1.96256220493115	2.02041817495994	2.10273393198104	1.95809356837237
TCGA.2Y.A9H2.01A	1.56130587896359	2.13187146952159	1.91814151710421	1.98055432903559	1.98487146516881	1.92587460401015
TCGA.5C.A9VG.01A	1.56858313296252	2.14930857687838	1.98110113924214	1.91852295445292	1.90357786251196	1.94591660869238
TCGA.CC.A3M9.01A	1.71487528444649	1.9463049943392	1.98487273978881	2.09512328974372	2.14160253037971	1.98359543334603
TCGA.EP.A2KA.01A	1.73355472493614	2.17563610986703	1.88465524881505	2.01892403312468	2.01219688772633	1.88284047363926
TCGA.DD.AADW.01A	1.54641500022446	2.15633820305261	1.96889485240945	1.92029695178287	1.91179966810625	1.96618348406759
TCGA.DD.AAED.01A	1.49763173957056	2.16541995689339	1.80604471759866	1.9443299945474	1.90517359677351	1.83133411329056
TCGA.LG.A9QD.01A	1.62710779803684	2.18068651350854	1.93853260063108	1.95143578088976	1.93651844244168	1.92112153337711
TCGA.DD.AADV.01A	1.50790313349076	2.18266012707352	1.93720273474008	1.92758159465835	1.93124859846386	1.92563267105282
TCGA.G3.A3CH.01A	1.62696816339813	2.17216303588026	1.95824352507646	1.97131088711565	1.9569872073537	1.9574607944586
TCGA.G3.AAV1.01A	1.35080566461212	2.15547910329803	1.94019344685246	1.92545008226014	1.93588544384414	1.94662672304354
TCGA.ZS.A9CG.01A	1.53897351659656	2.16805863117848	1.93454725968418	1.92520846214063	1.91797852216823	1.94706209604302
TCGA.DD.AAW3.01A	1.3676422552629	2.17003224660071	1.89516636294925	1.88586951424949	1.86310179837525	1.90522130676669
TCGA.ED.A7PY.01A	1.46192072008776	2.18300503000156	1.88340930634886	1.90543627275422	1.8751846332556	1.87725987673169
TCGA.ZP.A9D2.01A	1.68022929863344	2.14964430571827	1.95794047413051	1.94436008451432	1.96063897652463	1.95088222474476
TCGA.G3.A25Y.01A	1.62658283376848	2.1769783863	2.00230181424533	1.9880201294458	2.00755398720872	1.98120583203623
TCGA.G3.A3CI.01A	1.67739014931471	2.18082334889669	1.96064825772069	1.94836501781409	1.98201090626347	1.95189993161499
TCGA.K7.A5RG.01A	1.90863659091619	2.15880406823739	1.92250739252982	2.06785952482076	2.07250959516922	1.93367110665377
TCGA.EP.A3RK.01A	1.79232767583753	2.17064902309531	1.92232433920028	2.01763645414315	2.04864145970833	1.91292226055638
TCGA.CC.A7IJ.01A	1.66736191787708	1.95715080012723	1.9986880637054	2.05789738778885	2.08628013677726	1.96151086815147
TCGA.MI.A75H.01A	1.63217757216358	2.17961660462178	1.92533650666587	1.98003291140696	1.97590328900378	1.94097850790882
TCGA.G3.AAV5.01A	1.5034001990685	2.16810850891434	1.87372850483195	1.92793385678231	1.91245848639111	1.86835312512679
TCGA.ED.A7XP.01A	1.60462744801572	2.17107508992946	1.97066519246004	1.9620100516286	1.9620124255912	1.94806500817028
TCGA.DD.A1ED.01A	1.67563317654688	2.16851326789673	1.97997468937586	1.99178393591309	2.02618916284786	1.9909865381726
TCGA.ED.A5KG.01A	1.91263657879821	2.10231276038893	1.98013336431734	2.13483745259107	2.11106421181965	1.96715987863781
TCGA.ED.A459.01A	1.37673552120541	2.1718823287055	1.91807440852367	1.93836756546441	1.97322835242432	1.90022798705022
TCGA.2Y.A9GX.01A	1.77561826485745	2.15317305787336	2.01478571031656	2.03453308158121	2.06243037694671	1.9894206761282
TCGA.DD.A73E.01A	1.35492988923306	2.14491977692873	1.8866494717126	1.84287140775721	1.81036062192939	1.89528666285449
TCGA.QA.A7B7.01A	1.36936745845788	2.1483501417901	1.81073232757845	1.91009538576726	1.84145772895914	1.83932335247183
TCGA.DD.AACL.01A	1.7878292248881	2.18096018524031	1.8899020670116	2.01916703593084	2.05708010142254	1.88645494020691
TCGA.MR.A520.01A	1.60284898679802	2.17744511529724	1.92131908676928	1.91389540981641	1.9065628031141	1.92028986195492
TCGA.DD.A1EF.01A	1.69219988456101	2.1438197596146	1.90796283296897	1.98352512215554	1.95537632634001	1.91402452074941
TCGA.G3.A25T.01A	1.54710767918905	2.16142896809765	1.95846811547	1.96985894517059	1.9800841305406	1.93100247268147
TCGA.FV.A4ZP.01A	1.4803312493606	2.16400055535764	1.84757395203214	1.9460143130842	1.95745348028663	1.81202349242298
