"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PNISR",7.15868716001929e-29,0.309790575717582,0.607,0.372,1.35413726318925e-24,"0","PNISR"
"IQGAP1",9.69913045642834e-29,0.260221493439795,0.372,0.178,1.83468751713799e-24,"0","IQGAP1"
"CSDE1",1.38417567605173e-28,0.354328487716375,0.558,0.347,2.61830670881945e-24,"0","CSDE1"
"LBH",1.39525246824333e-28,0.270768668181724,0.376,0.176,2.63925956892908e-24,"0","LBH"
"RPL13A",1.91116730172854e-28,0.270914243013467,1,0.998,3.6151640679497e-24,"0","RPL13A"
"RNF115",1.99589276866446e-28,0.257607600511056,0.321,0.145,3.77543076120569e-24,"0","RNF115"
"ARID5A",2.54106817790239e-28,0.352209866764371,0.41,0.214,4.80668456532015e-24,"0","ARID5A"
"AP2S1",2.54820719405586e-28,0.325388984426152,0.693,0.44,4.82018872827607e-24,"0","AP2S1"
"CHMP2A",2.69733085210278e-28,0.326282853861782,0.64,0.41,5.10227103983762e-24,"0","CHMP2A"
"LRP10",4.03947368401033e-28,0.259622763719692,0.355,0.17,7.64106842067395e-24,"0","LRP10"
"EIF3I",4.07945076803754e-28,0.340036210906117,0.563,0.345,7.71668907281981e-24,"0","EIF3I"
"EEF2",5.48685130905076e-28,0.336224378122509,0.927,0.809,1.03789279362004e-23,"0","EEF2"
"SSB",6.0734120211143e-28,0.289641929066977,0.466,0.255,1.14884661791398e-23,"0","SSB"
"CREBRF",8.03470155850077e-28,0.268388788950443,0.293,0.129,1.51984414680601e-23,"0","CREBRF"
"CLTA",9.04791681196476e-28,0.304705878063887,0.682,0.436,1.71150394415125e-23,"0","CLTA"
"SAP18",9.75396797682108e-28,0.346210118529871,0.707,0.496,1.84506058249548e-23,"0","SAP18"
"TUBB4B",9.95608659540305e-28,0.397126165723462,0.595,0.382,1.88329334038644e-23,"0","TUBB4B"
"RPLP2",1.14872449022318e-27,0.272200905938799,1,0.987,2.17292724570617e-23,"0","RPLP2"
"TOPORS",2.05537470544783e-27,0.260119769833838,0.292,0.128,3.88794679282512e-23,"0","TOPORS"
"CTTN",3.40695560731694e-27,0.252477439597697,0.333,0.156,6.44459722680072e-23,"0","CTTN"
"RAB11B",3.49054153946696e-27,0.278321194719692,0.415,0.219,6.6027083760557e-23,"0","RAB11B"
"HNRNPA1",3.69375673119379e-27,0.306533486620932,0.901,0.707,6.98711023272617e-23,"0","HNRNPA1"
"ANXA5",3.69652787043586e-27,0.267268235869671,0.628,0.382,6.99235211971648e-23,"0","ANXA5"
"RNF13",5.87072866031057e-27,0.270206483170823,0.358,0.178,1.11050703338435e-22,"0","RNF13"
"CALCOCO2",6.26230389134821e-27,0.258008894900894,0.362,0.18,1.18457740408743e-22,"0","CALCOCO2"
"RNPS1",9.35477255853432e-27,0.265324888578467,0.431,0.23,1.76954877717235e-22,"0","RNPS1"
"DHX36",1.70541681303348e-26,0.275147845592722,0.421,0.224,3.22596644353413e-22,"0","DHX36"
"MYADM",2.08222950883259e-26,0.260776061077845,0.533,0.303,3.93874533890774e-22,"0","MYADM"
"BZW1",2.38869108124306e-26,0.289430205787282,0.54,0.321,4.51844804927937e-22,"0","BZW1"
"CD36",2.47555429134096e-26,0.344037493429471,0.32,0.146,4.68275849750057e-22,"0","CD36"
"RPL19",2.48081278749694e-26,0.270872269998555,0.997,0.992,4.69270546882921e-22,"0","RPL19"
"MAPRE1",3.37213292122166e-26,0.255301542076784,0.376,0.191,6.3787266337829e-22,"0","MAPRE1"
"MALAT1",3.38932048013756e-26,0.321231428663599,0.999,0.986,6.41123862022821e-22,"0","MALAT1"
"PPP2R1A",3.76659308503262e-26,0.279198827276023,0.426,0.229,7.1248874796477e-22,"0","PPP2R1A"
"CCPG1",3.86466460923104e-26,0.274160684397669,0.376,0.195,7.31039957482144e-22,"0","CCPG1"
"NOSIP",4.35276880607195e-26,0.261911329436401,0.453,0.249,8.23369747356571e-22,"0","NOSIP"
"RPS17",4.58271931587645e-26,0.276230750529982,1,0.984,8.6686718579119e-22,"0","RPS17"
