"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RBP7",0,3.19395129278914,0.862,0.047,0,"0","RBP7"
"PLVAP",0,2.84894032797243,0.868,0.037,0,"0","PLVAP"
"CLDN5",0,2.83081357283243,0.755,0.029,0,"0","CLDN5"
"RAMP2",0,2.81929683888014,0.933,0.026,0,"0","RAMP2"
"PLPP1",0,2.75199069185348,0.884,0.148,0,"0","PLPP1"
"GNG11",0,2.63109975773686,0.945,0.137,0,"0","GNG11"
"TM4SF1",0,2.6023133834027,0.893,0.183,0,"0","TM4SF1"
"SLC9A3R2",0,2.48145040598289,0.784,0.068,0,"0","SLC9A3R2"
"ID1",0,2.35623277984211,0.839,0.094,0,"0","ID1"
"IFI27",0,2.29243768605877,0.978,0.314,0,"0","IFI27"
"HSPG2",0,2.2011284325344,0.897,0.051,0,"0","HSPG2"
"CLEC14A",0,2.17499473745783,0.862,0.016,0,"0","CLEC14A"
"ENG",0,2.12043924852616,0.84,0.073,0,"0","ENG"
"EGFL7",0,2.0965501814654,0.91,0.119,0,"0","EGFL7"
"SPRY1",0,2.09049538102332,0.763,0.122,0,"0","SPRY1"
"FKBP1A",0,2.05746700780566,0.974,0.425,0,"0","FKBP1A"
"A2M",0,2.03434609063093,0.92,0.215,0,"0","A2M"
"TCF4",0,1.93092029232106,0.905,0.195,0,"0","TCF4"
"RAMP3",0,1.91038173499974,0.749,0.019,0,"0","RAMP3"
"CRIP2",0,1.85111132342951,0.927,0.225,0,"0","CRIP2"
"FLT1",0,1.84789619521035,0.785,0.019,0,"0","FLT1"
"PECAM1",0,1.83254068075654,0.866,0.122,0,"0","PECAM1"
"RNASE1",0,1.80909963368447,0.85,0.052,0,"0","RNASE1"
"EPAS1",0,1.79995717679449,0.873,0.174,0,"0","EPAS1"
"AQP1",0,1.76253801436526,0.731,0.023,0,"0","AQP1"
"EMP1",0,1.74620084296151,0.787,0.068,0,"0","EMP1"
"EMCN",0,1.70796731261973,0.813,0.011,0,"0","EMCN"
"HYAL2",0,1.68465926898785,0.78,0.072,0,"0","HYAL2"
"PLPP3",0,1.66265905374993,0.668,0.076,0,"0","PLPP3"
"VWF",0,1.65407410302776,0.555,0.02,0,"0","VWF"
"APP",0,1.64252011423949,0.891,0.253,0,"0","APP"
"ESAM",0,1.63121397322324,0.84,0.106,0,"0","ESAM"
"NOTCH4",0,1.61011039618014,0.766,0.024,0,"0","NOTCH4"
"TGFBR2",0,1.54265046388297,0.798,0.083,0,"0","TGFBR2"
"ECSCR",0,1.53858792559828,0.784,0.014,0,"0","ECSCR"
"CALCRL",0,1.51002343158163,0.745,0.035,0,"0","CALCRL"
"LDB2",0,1.4881105529754,0.734,0.029,0,"0","LDB2"
"CD34",0,1.48733997409933,0.736,0.016,0,"0","CD34"
"PTRF",0,1.44105232875935,0.866,0.158,0,"0","PTRF"
"GIMAP7",0,1.43622302860644,0.733,0.083,0,"0","GIMAP7"
"ARHGAP29",0,1.42599526807197,0.78,0.112,0,"0","ARHGAP29"
"ADGRL4",0,1.40244008924252,0.731,0.008,0,"0","ADGRL4"
"PODXL",0,1.39193988529172,0.713,0.016,0,"0","PODXL"
"CD93",0,1.38347418980359,0.708,0.039,0,"0","CD93"
"PTPRB",0,1.36037401730023,0.663,0.013,0,"0","PTPRB"
"THBD",0,1.33577748322409,0.614,0.039,0,"0","THBD"
"EFNB2",0,1.29080327676885,0.603,0.014,0,"0","EFNB2"
"TMEM88",0,1.25974712472671,0.617,0.012,0,"0","TMEM88"
"SDPR",0,1.24197771973011,0.603,0.034,0,"0","SDPR"
"KDR",0,1.23686137144713,0.579,0.008,0,"0","KDR"
"PCAT19",0,1.20463431196763,0.61,0.012,0,"0","PCAT19"
"NPDC1",0,1.17371681817297,0.64,0.041,0,"0","NPDC1"
"CDH5",0,1.15305706258388,0.645,0.012,0,"0","CDH5"
"PALMD",0,1.11136218189214,0.629,0.039,0,"0","PALMD"
"TM4SF18",0,1.11039439569387,0.519,0.012,0,"0","TM4SF18"
"WWTR1",0,1.08679966065716,0.639,0.052,0,"0","WWTR1"
"CYYR1",0,1.07723828351789,0.605,0.006,0,"0","CYYR1"
"MMRN2",0,0.95966279045485,0.529,0.01,0,"0","MMRN2"
"S1PR1",0,0.94517933979612,0.579,0.019,0,"0","S1PR1"
"TIE1",0,0.919801425914251,0.558,0.017,0,"0","TIE1"
"MYCT1",0,0.867123041355618,0.523,0.006,0,"0","MYCT1"
"TIMP3",7.03682786550058e-308,1.47176758029828,0.777,0.122,1.33108635903809e-303,"0","TIMP3"
"DLL4",4.53112166755214e-305,0.858451353663105,0.492,0.012,8.57106974634163e-301,"0","DLL4"
"FAM167B",1.61227637513444e-304,1.16430657955185,0.488,0.011,3.04978199120431e-300,"0","FAM167B"
"VAMP5",8.02219511856152e-304,1.68061250133393,0.895,0.27,1.5174784286271e-299,"0","VAMP5"
"GSN",6.60901041703732e-303,1.74919877470854,0.915,0.247,1.25016041048678e-298,"0","GSN"
"ROBO4",8.16848027144292e-303,0.844974109076487,0.479,0.01,1.54514972814614e-298,"0","ROBO4"
"S100A16",1.00400152792394e-301,1.44817112827112,0.802,0.158,1.89916929022092e-297,"0","S100A16"
"FAM198B",3.00366640893669e-301,0.875351031176704,0.532,0.024,5.68173537914463e-297,"0","FAM198B"
"ICAM2",1.60422961892795e-298,1.32192664571015,0.715,0.104,3.03456074716412e-294,"0","ICAM2"
"ERG",2.97653163195851e-294,0.65207259788033,0.438,0.003,5.63040723501271e-290,"0","ERG"
"GJA1",8.01580929734858e-290,0.864339443875225,0.467,0.011,1.51627048668646e-285,"0","GJA1"
"DOCK9",1.32696230131738e-289,0.801990755112645,0.517,0.024,2.51008188917196e-285,"0","DOCK9"
"FSCN1",1.6583120731322e-289,0.984076960859661,0.536,0.03,3.13686311753686e-285,"0","FSCN1"
"TMEM204",3.25590281468259e-289,1.36033129497496,0.653,0.077,6.15886576425359e-285,"0","TMEM204"
"HEG1",1.67740340844563e-282,0.999948418281336,0.529,0.032,3.17297628741575e-278,"0","HEG1"
"TMEM255B",2.44332144325099e-282,0.754248267208849,0.471,0.014,4.62178684205358e-278,"0","TMEM255B"
"HLA-E",1.52583140854582e-281,1.85308548365319,0.99,0.689,2.88626269240528e-277,"0","HLA-E"
"COL4A1",2.90158072747659e-280,1.37638435652112,0.78,0.135,5.48863010409472e-276,"0","COL4A1"
"GIMAP1",2.9734275733134e-277,0.903759796463533,0.556,0.042,5.62453559767963e-273,"0","GIMAP1"
"CD9",1.03396794314919e-275,1.66088338765598,0.866,0.227,1.95585376126101e-271,"0","CD9"
"JAM2",1.74036434021355e-272,0.871551667327092,0.453,0.013,3.29207318594796e-268,"0","JAM2"
"COL15A1",3.75357732722642e-271,1.05390377491145,0.481,0.021,7.10026687218149e-267,"0","COL15A1"
"CCDC85B",9.15022895745695e-270,1.50854978725715,0.895,0.314,1.73085730959256e-265,"0","CCDC85B"
"INSR",1.10918679743143e-268,1.83924358399596,0.733,0.138,2.09813774602129e-264,"0","INSR"
"MALL",1.8998915567438e-268,0.754272031822579,0.423,0.007,3.59383486873657e-264,"0","MALL"
"IL3RA",4.10816617191832e-267,0.73488904579808,0.449,0.013,7.7710071308007e-263,"0","IL3RA"
"NFIB",1.520865722233e-263,1.31391017020864,0.745,0.147,2.87686960017594e-259,"0","NFIB"
"ADGRF5",1.86821290962171e-262,0.978214843314907,0.59,0.061,3.53391153984042e-258,"0","ADGRF5"
"ARL15",3.01148810233847e-259,0.828583840759934,0.455,0.018,5.69653089438346e-255,"0","ARL15"
"NRN1",4.54024860789399e-259,0.616233492280463,0.399,0.004,8.58833426669228e-255,"0","NRN1"
"BTNL9",1.82334190939453e-258,0.837264857494847,0.43,0.012,3.44903355581069e-254,"0","BTNL9"
"LIMCH1",1.01571115480766e-255,0.934046220554451,0.58,0.06,1.92131922043416e-251,"0","LIMCH1"
"ID3",2.76290338201365e-255,1.60681018308027,0.851,0.206,5.22630803741702e-251,"0","ID3"
"GIMAP4",4.16928391559196e-254,0.998082324818241,0.656,0.088,7.88661745473376e-250,"0","GIMAP4"
"SEC14L1",7.28128570622068e-252,1.1682944864804,0.731,0.15,1.3773280041887e-247,"0","SEC14L1"
"TMEM233",5.79254011049257e-251,0.730808247328604,0.383,0.003,1.09571688730077e-246,"0","TMEM233"
"ELK3",2.9742947005716e-249,0.855435060409365,0.567,0.06,5.62617585560124e-245,"0","ELK3"
"SPARC",3.27289384354129e-248,1.50002866273775,0.913,0.227,6.1910059944427e-244,"0","SPARC"
"DNASE1L3",3.22246443861998e-246,2.02970346380584,0.478,0.032,6.09561373209356e-242,"0","DNASE1L3"
"NOSTRIN",2.81288550826442e-245,0.692156553569339,0.42,0.014,5.32085422743297e-241,"0","NOSTRIN"
"SOX17",4.82037676562355e-241,0.752624938069505,0.368,0.003,9.11822468985351e-237,"0","SOX17"
"ADAM15",1.14147188593591e-239,0.93656485271142,0.556,0.062,2.15920821943637e-235,"0","ADAM15"
"IPO11",1.30585044244331e-239,0.651429726785174,0.421,0.016,2.47014669692576e-235,"0","IPO11"
"CAV1",2.51177860776051e-239,1.42807917260708,0.846,0.221,4.75128041443978e-235,"0","CAV1"
"LPAR6",3.52373054242708e-239,0.936777406410782,0.592,0.074,6.66548869405506e-235,"0","LPAR6"
"APOLD1",1.46647632119293e-238,1.13316721351965,0.576,0.07,2.77398660916855e-234,"0","APOLD1"
"CXorf36",2.27987333419063e-238,0.665183818411129,0.382,0.007,4.312608398955e-234,"0","CXorf36"
"MMP2",6.57457396912064e-238,0.690849408995667,0.419,0.016,1.24364641199886e-233,"0","MMP2"
"PCDH17",1.32967849915004e-237,0.902481954428471,0.539,0.051,2.51521984899221e-233,"0","PCDH17"
"BCAM",1.10797796425335e-235,1.06406252407317,0.719,0.139,2.09585111718163e-231,"0","BCAM"
"MGP",1.9159215110995e-235,1.97314415669469,0.809,0.201,3.62415713039582e-231,"0","MGP"
"TGM2",2.06977067554967e-234,0.817999788126144,0.494,0.04,3.91517820986976e-230,"0","TGM2"
"SWAP70",1.74236816824775e-233,0.876737235529091,0.536,0.057,3.29586362705745e-229,"0","SWAP70"
"SOCS2",7.0641602242001e-233,0.920403931518207,0.551,0.062,1.33625654800969e-228,"0","SOCS2"
"SLCO2A1",1.03471952110201e-229,0.631127888274176,0.36,0.004,1.95727544611656e-225,"0","SLCO2A1"
"CDH13",2.3680160010024e-228,0.733052587485316,0.421,0.02,4.47933906749615e-224,"0","CDH13"
"SOX7",3.68431587882345e-226,0.693509086735983,0.364,0.007,6.96925191638245e-222,"0","SOX7"
"STC1",1.5833807337076e-223,1.65624774521788,0.486,0.045,2.99512299588129e-219,"0","STC1"
"ITGA6",5.11502636190837e-222,0.89247497485626,0.552,0.072,9.67558386618587e-218,"0","ITGA6"
"SOCS3",2.10498539442706e-220,1.70573408818165,0.836,0.301,3.98179037209823e-216,"0","SOCS3"
"PLK2",4.84781711762519e-219,1.06705338200659,0.629,0.109,9.17013085969981e-215,"0","PLK2"
"AIF1L",1.07419122278833e-218,0.554328361761842,0.346,0.005,2.03194011702641e-214,"0","AIF1L"
"TSPAN18",1.75822341728272e-218,0.523918286837841,0.346,0.005,3.32585541613199e-214,"0","TSPAN18"
"HECW2",5.96357434402698e-218,0.618221108284686,0.36,0.008,1.12806972291614e-213,"0","HECW2"
"STOM",7.5956004439334e-218,1.34394864385033,0.81,0.264,1.43678377997444e-213,"0","STOM"
"CCL14",8.46176078209613e-218,0.683007016474317,0.337,0.003,1.6006266695413e-213,"0","CCL14"
"FAM107A",1.04274710937993e-217,0.641296705992468,0.346,0.005,1.97246043210308e-213,"0","FAM107A"
"PTPRM",6.53711541734405e-217,0.686845684598079,0.452,0.034,1.2365607523448e-212,"0","PTPRM"
"MECOM",6.67397490968923e-216,0.721838836223185,0.368,0.011,1.26244909391681e-211,"0","MECOM"
"TACC1",1.60529383212933e-214,1.28919959093891,0.755,0.216,3.03657381285583e-210,"0","TACC1"
"KLF4",1.11059921881759e-213,1.20139112952239,0.635,0.115,2.10080948231534e-209,"0","KLF4"
"MAST4",8.04579396953491e-212,1.14394542881671,0.562,0.083,1.52194238727722e-207,"0","MAST4"
"HBEGF",1.47992417998289e-211,0.941283973509297,0.529,0.063,2.79942457885564e-207,"0","HBEGF"
"PDGFD",1.36388859252058e-210,0.755197956829031,0.388,0.018,2.57993166161192e-206,"0","PDGFD"
"IGFBP4",1.875766588592e-210,1.11047969705812,0.74,0.181,3.54820007898062e-206,"0","IGFBP4"
"VIM",1.80173947085511e-207,1.61980011599843,0.993,0.59,3.40817038306952e-203,"0","VIM"
"CD59",6.55183399001344e-206,1.33699086575047,0.928,0.45,1.23934491755094e-201,"0","CD59"
"SPARCL1",1.60964088877298e-205,1.11471580599824,0.847,0.203,3.04479670520297e-201,"0","SPARCL1"
"TP53I11",6.47421512959216e-205,0.712381468742731,0.405,0.025,1.22466253391365e-200,"0","TP53I11"
"TSC22D1",2.85662878176378e-204,1.32998609636689,0.814,0.241,5.40359900358436e-200,"0","TSC22D1"
"GRB10",2.77441879603844e-203,0.783627680143183,0.501,0.059,5.24809059458631e-199,"0","GRB10"
"SNAI1",4.99332193840402e-203,0.716484356748385,0.416,0.029,9.44536777868505e-199,"0","SNAI1"
"PLXND1",7.37799602402967e-203,0.74247692955835,0.511,0.063,1.39562172790545e-198,"0","PLXND1"
"LAMA4",5.26022162282772e-201,0.760741194978883,0.493,0.057,9.95023522174092e-197,"0","LAMA4"
"MARCKSL1",4.85255856474885e-199,1.26493906602252,0.766,0.229,9.17909978107893e-195,"0","MARCKSL1"
"GIMAP6",1.07622136236043e-198,0.557798200479727,0.39,0.022,2.03578032904098e-194,"0","GIMAP6"
"CD200",3.4130663253873e-198,0.543250767817366,0.34,0.01,6.45615626110261e-194,"0","CD200"
"TNFRSF10D",7.58287290085166e-198,0.692915131392784,0.398,0.026,1.4343762379251e-193,"0","TNFRSF10D"
"IL6ST",1.92680734988251e-197,1.09924326533679,0.691,0.176,3.64474878303776e-193,"0","IL6ST"
"SYNPO",4.75100275313648e-197,0.680394880510369,0.43,0.037,8.98699680783296e-193,"0","SYNPO"
"NRP2",6.54017003840782e-197,0.801758791576688,0.449,0.043,1.23713856446522e-192,"0","NRP2"
"IGFBP7",2.43440116993474e-196,0.641130186342664,0.945,0.286,4.60491325304855e-192,"0","IGFBP7"
"SLC2A3",9.01113341084398e-196,1.39662764199957,0.715,0.194,1.70454599599525e-191,"0","SLC2A3"
"MTUS1",2.36143058555155e-195,0.96810814828923,0.614,0.122,4.46688209562931e-191,"0","MTUS1"
"EFNA1",2.25252039453571e-194,1.02910722060131,0.704,0.168,4.26086757830375e-190,"0","EFNA1"
"ABL2",2.30910190136737e-194,0.937812910514693,0.523,0.075,4.36789715662652e-190,"0","ABL2"
"PCDH12",4.39197862381792e-194,0.459876511274689,0.302,0.003,8.30786676481398e-190,"0","PCDH12"
"PDE2A",1.95502906860681e-192,0.497825810295818,0.299,0.003,3.69813298617665e-188,"0","PDE2A"
"LMO2",3.5292397013452e-192,0.521302521836973,0.339,0.012,6.67590981906459e-188,"0","LMO2"
"BCL6B",4.56568799460111e-192,0.47847373015202,0.3,0.003,8.63645541058745e-188,"0","BCL6B"
"RGS3",6.23317643734582e-192,0.784729551170507,0.511,0.069,1.17906765488833e-187,"0","RGS3"
"TEK",1.887619677996e-191,0.467003603637651,0.304,0.004,3.57062138289723e-187,"0","TEK"
"DOCK6",1.74758822124981e-190,0.592084473228111,0.408,0.032,3.30573787931614e-186,"0","DOCK6"
"SH3BP5",2.23186582095905e-190,0.875500335615659,0.515,0.075,4.22179738692613e-186,"0","SH3BP5"
"ARHGEF15",1.2833510899848e-189,0.448700041098175,0.307,0.005,2.42758692181525e-185,"0","ARHGEF15"
"ESM1",1.9417964407699e-189,1.01665618891251,0.303,0.004,3.67310214736034e-185,"0","ESM1"
"KIAA1462",1.65151630956504e-188,0.555716932942385,0.372,0.022,3.12400825117323e-184,"0","KIAA1462"
"ACVRL1",2.53801236032741e-188,0.51677401055177,0.362,0.019,4.80090418079533e-184,"0","ACVRL1"
"LUZP1",2.94214765674811e-188,0.804156320393248,0.565,0.099,5.56536650750472e-184,"0","LUZP1"
"RAB13",1.40716316687944e-187,1.11591963016883,0.781,0.266,2.66178984646916e-183,"0","RAB13"
"LMCD1",2.41624556660057e-187,0.789549863945121,0.449,0.048,4.57057011378164e-183,"0","LMCD1"
"RDX",5.56774147062763e-187,1.09957821889541,0.747,0.241,1.05319397658392e-182,"0","RDX"
"ANXA2",1.44673564507128e-186,1.26714846594518,0.931,0.504,2.73664514621683e-182,"0","ANXA2"
"IFITM3",1.01483404886457e-185,1.38468145892535,0.996,0.594,1.91966008683223e-181,"0","IFITM3"
"JUP",1.89979095798836e-185,0.572665796044177,0.391,0.029,3.59364457613079e-181,"0","JUP"
"MAGI1",4.65042177762566e-184,0.621995609549281,0.42,0.039,8.7967378345567e-180,"0","MAGI1"
"MYO10",5.20993898972169e-184,0.545405911132753,0.351,0.018,9.85512059295755e-180,"0","MYO10"
"COL4A2",9.00350834589509e-183,1.00186941917226,0.668,0.143,1.70310363870952e-178,"0","COL4A2"
"HSPA12B",9.9390410567575e-183,0.431780475416633,0.284,0.002,1.88006900629625e-178,"0","HSPA12B"
"KCNN3",7.62563050670645e-182,0.598993806344668,0.383,0.029,1.44246426664859e-177,"0","KCNN3"
"TSPAN7",1.4599128429987e-181,0.602120212436651,0.364,0.023,2.76157113381634e-177,"0","TSPAN7"
"GPIHBP1",1.78251512271226e-181,0.559779045027178,0.278,0.002,3.3718056061225e-177,"0","GPIHBP1"
"RHOC",1.92207373136687e-181,1.14829402723783,0.88,0.381,3.63579467025357e-177,"0","RHOC"
"GNAI2",1.93060460780867e-181,1.00832056483969,0.712,0.209,3.65193167613087e-177,"0","GNAI2"
"BMPR2",2.10198696404998e-181,0.672826171244216,0.449,0.051,3.97611854119695e-177,"0","BMPR2"
"YBX3",1.93926572078635e-180,1.11153878922074,0.694,0.192,3.66831503743946e-176,"0","YBX3"
"DYSF",4.21819414258521e-180,0.554705758696798,0.324,0.012,7.97913604011417e-176,"0","DYSF"
"EDNRB",1.07384127616432e-179,1.222781945299,0.543,0.097,2.03127815799243e-175,"0","EDNRB"
"ITM2B",6.14771018461134e-178,1.24109247689106,0.996,0.712,1.16290085852108e-173,"0","ITM2B"
"SNCG",3.90605891233449e-177,0.66861248197238,0.486,0.064,7.38870103857192e-173,"0","SNCG"
"KLF2",4.09185734083233e-176,1.0085741972687,0.572,0.113,7.74015734591843e-172,"0","KLF2"
"ZEB1",1.31904951146278e-175,0.767164212954265,0.556,0.102,2.49511405588299e-171,"0","ZEB1"
"CTTNBP2NL",2.90064877574142e-175,0.542678261396515,0.38,0.03,5.48686722419247e-171,"0","CTTNBP2NL"
"NRP1",1.01703373117715e-174,0.791464385199235,0.569,0.109,1.9238210058947e-170,"0","NRP1"
"GIMAP8",2.35802745689091e-174,0.47684520965466,0.317,0.012,4.46044473745485e-170,"0","GIMAP8"
"CALM1",2.68789500041057e-173,1.15197851510647,0.967,0.686,5.08442218277663e-169,"0","CALM1"
"GATA2",5.25943073612501e-173,0.48124552621343,0.278,0.004,9.94873918045407e-169,"0","GATA2"
"FGD5",4.05468271904594e-172,0.410076535552815,0.275,0.004,7.66983783134729e-168,"0","FGD5"
"JMJD1C",6.76448199980421e-171,1.03199060956119,0.679,0.191,1.27956941508296e-166,"0","JMJD1C"
"SERTAD1",7.28030452229985e-171,1.2880763184823,0.72,0.237,1.37714240343824e-166,"0","SERTAD1"
"MCF2L",1.18712135430238e-170,0.468921044626609,0.307,0.011,2.24555875379838e-166,"0","MCF2L"
"SPTBN1",1.71854830926914e-170,1.03557583878915,0.759,0.256,3.2508059818135e-166,"0","SPTBN1"
"RAPGEF3",2.20670134958281e-170,0.411560525557247,0.264,0.002,4.17419627287084e-166,"0","RAPGEF3"
"SOX18",8.2502968588988e-170,0.487324267620638,0.277,0.005,1.5606261538293e-165,"0","SOX18"
"SLC44A2",2.1320588959859e-169,0.573513506887715,0.417,0.046,4.03300260764693e-165,"0","SLC44A2"
"RAPGEF5",1.31839250831527e-168,0.564637566970203,0.372,0.031,2.49387126872916e-164,"0","RAPGEF5"
"MIDN",2.48583357394313e-168,1.24336071407097,0.667,0.201,4.70220278847082e-164,"0","MIDN"
"ADCY4",4.5908179650522e-168,0.424338398231876,0.295,0.009,8.68399126269273e-164,"0","ADCY4"
"TJP1",5.66726707297483e-166,0.722028905303501,0.523,0.096,1.07202023952392e-161,"0","TJP1"
"ZFP36",1.01756633929836e-165,1.77960672901413,0.924,0.577,1.92482848741677e-161,"0","ZFP36"
"MEF2C",4.55902899285135e-165,0.880083431619413,0.775,0.243,8.62385924287761e-161,"0","MEF2C"
"JUNB",5.77611093469947e-165,1.7296004785681,0.966,0.76,1.09260914440775e-160,"0","JUNB"
"CDC37",1.04321849844189e-164,1.00634959541943,0.795,0.333,1.97335211165267e-160,"0","CDC37"
"FLT4",1.226273610047e-163,0.43707705745909,0.27,0.005,2.31961916076491e-159,"0","FLT4"
"LIMS2",3.00144285108917e-163,0.576161714787096,0.391,0.04,5.67752929712028e-159,"0","LIMS2"
"TXNIP",4.62369147684272e-163,1.17508465438804,0.802,0.302,8.74617479759568e-159,"0","TXNIP"
"TFF3",3.80512474654696e-162,0.844475213529826,0.336,0.023,7.19777397056823e-158,"0","TFF3"
"GFOD1",9.15826784145675e-162,0.560822603978203,0.358,0.03,1.73237794488996e-157,"0","GFOD1"
"ADGRG1",7.4282923100337e-161,0.473974719638845,0.331,0.021,1.40513577336597e-156,"0","ADGRG1"
"FCN3",1.84929055711797e-160,0.699860408076774,0.26,0.004,3.49811801784435e-156,"0","FCN3"
"TMSB10",2.57909681418691e-160,1.1931941140245,1,0.902,4.87861953371595e-156,"0","TMSB10"
"AFAP1L1",2.58794434538433e-159,0.451284983268636,0.298,0.013,4.895355523729e-155,"0","AFAP1L1"
"FOSB",4.19018238399027e-159,1.45453278653444,0.927,0.568,7.92614899755599e-155,"0","FOSB"
"SEMA3G",2.82629938101242e-157,0.671137542281352,0.263,0.006,5.34622790912308e-153,"0","SEMA3G"
"RUNX1T1",1.12842847884258e-156,0.529618484699514,0.333,0.024,2.13453531057863e-152,"0","RUNX1T1"
"SEPW1",2.05950282587019e-156,1.21386075210096,0.828,0.336,3.89575554541605e-152,"0","SEPW1"
"MYL12B",4.27120674734951e-155,1.02718315093107,0.933,0.562,8.07941468328634e-151,"0","MYL12B"
"ACE",6.56375187007264e-155,0.627987343024831,0.328,0.023,1.24159930374294e-150,"0","ACE"
"CD81",6.99971947285274e-155,0.858245205930993,0.665,0.19,1.32406693548483e-150,"0","CD81"
"TSPAN14",1.72152976248813e-154,0.658127681302904,0.496,0.089,3.25644569872255e-150,"0","TSPAN14"
"RASIP1",2.06010587139314e-154,0.40911409516583,0.278,0.01,3.89689626632727e-150,"0","RASIP1"
"EHD4",2.4717766798185e-154,0.676356220812075,0.489,0.087,4.67561276754468e-150,"0","EHD4"
"TNS2",3.09692444209444e-154,0.625278486672256,0.463,0.073,5.85814227466584e-150,"0","TNS2"
"PEA15",5.45076555911458e-154,0.689028204737038,0.526,0.106,1.03106681316211e-149,"0","PEA15"
"NPR1",1.15921162651728e-153,0.379987957158844,0.251,0.004,2.19276471272009e-149,"0","NPR1"
"RPS6KA2",1.51137486283663e-153,0.429649649665008,0.285,0.012,2.85891669054176e-149,"0","RPS6KA2"
"CASKIN2",4.21436685051871e-153,0.426668468699638,0.304,0.017,7.97189633444119e-149,"0","CASKIN2"
"PIK3C2A",1.26459034859722e-152,0.625816378701443,0.467,0.077,2.39209910340651e-148,"0","PIK3C2A"
"PLEKHG1",1.43542688393949e-152,0.434395599229876,0.298,0.016,2.71525349365994e-148,"0","PLEKHG1"
"HDAC7",2.12383214060139e-152,0.541669668181474,0.393,0.046,4.0174408771616e-148,"0","HDAC7"
"FZD4",4.71512598249592e-152,0.513371780715881,0.335,0.027,8.91913230848929e-148,"0","FZD4"
"SHE",9.79253040386528e-152,0.43539474047777,0.293,0.015,1.85235505119516e-147,"0","SHE"
"PRCP",1.53046557225027e-151,1.10795246015706,0.595,0.165,2.89502867646861e-147,"0","PRCP"
"PLXNA2",2.75719497686263e-151,0.441683182320417,0.292,0.015,5.21551001823335e-147,"0","PLXNA2"
"SLC25A37",1.56539439211315e-150,0.64535859396855,0.503,0.094,2.96110003212124e-146,"0","SLC25A37"
"IER2",2.51608375211675e-149,1.37027888757692,0.934,0.618,4.75942402550405e-145,"0","IER2"
"DUSP6",2.66888679243682e-149,0.81771873261545,0.579,0.134,5.0484662565735e-145,"0","DUSP6"
"CXCL12",3.71593877408943e-149,1.00158167625187,0.391,0.049,7.02906978506756e-145,"0","CXCL12"
"EMP2",6.35293038913713e-149,0.872867463810679,0.607,0.173,1.20172031240918e-144,"0","EMP2"
"MTRNR2L8",7.27754613945152e-149,1.81362153902197,0.968,0.608,1.37662062773865e-144,"0","MTRNR2L8"
"FLNB",8.06324207274203e-149,0.516606942761255,0.365,0.038,1.52524287047988e-144,"0","FLNB"
"F8",2.1931067275776e-148,0.518233982045118,0.306,0.02,4.14848068588578e-144,"0","F8"
"MAPK3",4.62529658893547e-147,0.524577653869834,0.402,0.053,8.74921102763033e-143,"0","MAPK3"
"ETS2",1.19717751930512e-145,0.770156867095422,0.573,0.141,2.26458099551757e-141,"0","ETS2"
"SRP14",6.051924566949e-145,1.37776220095896,0.983,0.808,1.14478205108407e-140,"0","SRP14"
"KIAA0355",8.57569139148161e-145,0.556327297072302,0.393,0.05,1.62217778361266e-140,"0","KIAA0355"
"CCND1",1.52556250045067e-144,0.977029114791795,0.58,0.14,2.88575402585248e-140,"0","CCND1"
"F2R",3.28475681187404e-143,0.554865643207576,0.408,0.055,6.21344598534093e-139,"0","F2R"
"CTNNB1",1.06631138307282e-142,1.11495637355242,0.686,0.226,2.01703461222054e-138,"0","CTNNB1"
"EPHA4",4.4499932702463e-142,0.390756042048291,0.255,0.009,8.4176072699979e-138,"0","EPHA4"
"FOS",2.71008414783356e-141,1.24321131416333,0.979,0.777,5.12639517404197e-137,"0","FOS"
"GAS6",1.08391101462051e-140,0.587036042157673,0.393,0.053,2.05032607525615e-136,"0","GAS6"
"CPNE2",1.72877117327963e-140,0.428031353130596,0.302,0.022,3.27014355137575e-136,"0","CPNE2"
"ITM2A",2.76982339845592e-140,0.919243275844381,0.654,0.196,5.23939794051922e-136,"0","ITM2A"
"JAG2",6.6990418794711e-140,0.428730167349034,0.252,0.009,1.26719076192075e-135,"0","JAG2"
"TAGLN2",9.95766851905852e-140,1.02328836597697,0.921,0.565,1.88359257706511e-135,"0","TAGLN2"
"SEMA6B",1.49469314434998e-139,0.390826264981007,0.271,0.014,2.82736155185242e-135,"0","SEMA6B"
"S100A10",2.81837267204631e-139,1.03413712904835,0.921,0.488,5.3312337464428e-135,"0","S100A10"
"LMNA",7.68844161019163e-139,1.19575365316685,0.934,0.557,1.45434561498385e-134,"0","LMNA"
"PTPN14",3.68892930917448e-138,0.456064989733969,0.333,0.033,6.97797868123445e-134,"0","PTPN14"
"S100A13",4.8247566159017e-138,0.667540760203367,0.577,0.145,9.12650961463966e-134,"0","S100A13"
"GNAS",8.21460681439419e-138,0.955165631221395,0.767,0.333,1.5538750250108e-133,"0","GNAS"
"UACA",9.19894421110516e-138,0.629168540929844,0.493,0.097,1.74007228697265e-133,"0","UACA"
"PTMA",1.15674965090162e-137,0.853953156859995,1,0.992,2.1881076396455e-133,"0","PTMA"
"PPFIBP1",1.33625737093425e-137,0.558402162346518,0.401,0.06,2.52766444285923e-133,"0","PPFIBP1"
